Date,Equipment ID,Temperature (°C),Pressure (bar),Flow Rate (m³/h),Efficiency (%),Operating Hours
2024-05-01,EQ-001,75.2,15.3,120.5,88.6,8.0
2024-05-02,EQ-001,76.8,15.7,122.0,89.1,7.5
2024-05-03,EQ-001,74.5,15.1,119.8,87.9,8.5
2024-05-04,EQ-002,80.3,16.2,130.7,91.2,6.0
2024-05-05,EQ-002,79.5,16.0,128.4,90.8,6.5
2024-05-06,EQ-002,81.0,16.5,132.1,91.5,5.5
2024-05-07,EQ-003,78.2,15.5,125.6,89.5,7.0
2024-05-08,EQ-003,77.6,15.4,124.8,89.0,7.2
2024-05-09,EQ-003,79.0,15.8,126.3,90.1,6.8
2024-05-10,EQ-004,73.5,14.8,118.2,87.0,8.2
2024-05-11,EQ-004,74.1,15.0,119.0,87.3,8.0
2024-05-12,EQ-004,72.8,14.6,117.5,86.8,8.3
2024-05-13,EQ-005,82.3,16.8,135.2,92.0,5.0
2024-05-14,EQ-005,83.0,17.0,136.5,92.3,4.8
2024-05-15,EQ-005,81.7,16.7,134.0,91.8,5.2
